timestamp,season,daypart,ranking_mode,pv_factor,semantic_category,zero_pv_night_rule_applies,not_described_as_actual_pv_export_stress,pass
2012-10-15 13:00:00,SPRING,AFTERNOON,EXPORT,0.91495687390211622,PV_AVAILABILITY_LOAD_EXPORT_ORIENTED,false,true,true
2011-12-15 05:30:00,SUMMER,NIGHT,EXPORT,0.0012736229423790165,NIGHT_NOMINAL_EXPORT_RANKING_NONZERO_PV,false,true,true
2011-02-06 00:00:00,SUMMER,NIGHT,IMPORT,0.00022478538112590292,HIGH_LOAD_IMPORT_ORIENTED,false,true,true
2010-12-21 11:30:00,SUMMER,MORNING,EXPORT,0.98182413080179209,PV_AVAILABILITY_LOAD_EXPORT_ORIENTED,false,true,true
2011-02-05 11:30:00,SUMMER,MORNING,IMPORT,0.86472243826556849,HIGH_LOAD_IMPORT_ORIENTED,false,true,true
2010-12-21 12:00:00,SUMMER,AFTERNOON,EXPORT,1,PV_AVAILABILITY_LOAD_EXPORT_ORIENTED,false,true,true
2011-02-05 17:30:00,SUMMER,AFTERNOON,IMPORT,0.26424641735168247,HIGH_LOAD_IMPORT_ORIENTED,false,true,true
2011-01-21 18:00:00,SUMMER,EVENING,EXPORT,0.18318922872628104,PV_AVAILABILITY_LOAD_EXPORT_ORIENTED,false,true,true
2011-02-05 18:00:00,SUMMER,EVENING,IMPORT,0.15683108117150052,HIGH_LOAD_IMPORT_ORIENTED,false,true,true
2013-04-17 05:30:00,AUTUMN,NIGHT,EXPORT,0.00059235732347296983,NIGHT_NOMINAL_EXPORT_RANKING_NONZERO_PV,false,true,true
2013-04-07 02:00:00,AUTUMN,NIGHT,IMPORT,0.00019046387444386181,HIGH_LOAD_IMPORT_ORIENTED,false,true,true
2011-03-08 11:30:00,AUTUMN,MORNING,EXPORT,0.88400084146854674,PV_AVAILABILITY_LOAD_EXPORT_ORIENTED,false,true,true
2011-05-16 07:30:00,AUTUMN,MORNING,IMPORT,0.1338814375458999,HIGH_LOAD_IMPORT_ORIENTED,false,true,true
2011-03-08 12:30:00,AUTUMN,AFTERNOON,EXPORT,0.91070051956239062,PV_AVAILABILITY_LOAD_EXPORT_ORIENTED,false,true,true
2011-05-11 17:30:00,AUTUMN,AFTERNOON,IMPORT,0.00028891970844664613,HIGH_LOAD_IMPORT_ORIENTED,false,true,true
2011-03-04 18:00:00,AUTUMN,EVENING,EXPORT,0.10713847029499528,PV_AVAILABILITY_LOAD_EXPORT_ORIENTED,false,true,true
2011-05-11 18:00:00,AUTUMN,EVENING,IMPORT,0.00017956058386973343,HIGH_LOAD_IMPORT_ORIENTED,false,true,true
2012-08-04 03:30:00,WINTER,NIGHT,EXPORT,0.0060275810052341913,NIGHT_NOMINAL_EXPORT_RANKING_NONZERO_PV,false,true,true
2010-07-03 00:00:00,WINTER,NIGHT,IMPORT,0.00013434820525477426,HIGH_LOAD_IMPORT_ORIENTED,false,true,true
2012-08-31 11:30:00,WINTER,MORNING,EXPORT,0.85508571513354303,PV_AVAILABILITY_LOAD_EXPORT_ORIENTED,false,true,true
2010-07-01 07:30:00,WINTER,MORNING,IMPORT,0.043944780778511917,HIGH_LOAD_IMPORT_ORIENTED,false,true,true
2012-08-24 12:00:00,WINTER,AFTERNOON,EXPORT,0.84688297372692045,PV_AVAILABILITY_LOAD_EXPORT_ORIENTED,false,true,true
2010-07-02 17:30:00,WINTER,AFTERNOON,IMPORT,3.8337801701021076e-05,HIGH_LOAD_IMPORT_ORIENTED,false,true,true
2012-08-05 23:30:00,WINTER,EVENING,EXPORT,0.00043102640650532001,PV_AVAILABILITY_LOAD_EXPORT_ORIENTED,false,true,true
2010-07-02 18:00:00,WINTER,EVENING,IMPORT,5.4141170341136635e-06,HIGH_LOAD_IMPORT_ORIENTED,false,true,true
2011-09-30 05:30:00,SPRING,NIGHT,EXPORT,0.0073311572869616962,NIGHT_NOMINAL_EXPORT_RANKING_NONZERO_PV,false,true,true
2011-09-11 00:00:00,SPRING,NIGHT,IMPORT,9.7454106614045939e-05,HIGH_LOAD_IMPORT_ORIENTED,false,true,true
2011-09-30 11:30:00,SPRING,MORNING,EXPORT,0.96907542579470729,PV_AVAILABILITY_LOAD_EXPORT_ORIENTED,false,true,true
2012-09-03 07:00:00,SPRING,MORNING,IMPORT,0.13524387132260485,HIGH_LOAD_IMPORT_ORIENTED,false,true,true
2011-11-14 17:30:00,SPRING,AFTERNOON,IMPORT,0.15856731696033283,HIGH_LOAD_IMPORT_ORIENTED,false,true,true
2010-11-26 18:00:00,SPRING,EVENING,EXPORT,0.11852944976455948,PV_AVAILABILITY_LOAD_EXPORT_ORIENTED,false,true,true
2011-11-14 19:30:00,SPRING,EVENING,IMPORT,3.2484702204681978e-05,HIGH_LOAD_IMPORT_ORIENTED,false,true,true
