attempt_id,logical_call_id,attempt_index,phase,timestamp,edge_id,calibration_id,d_kw,p13_abs_kw,p30_abs_kw,initialization,solver_status,primary_power_flow_status,replay_status,vmin_pu,vmin_bus,vmax_pu,vmax_bus,maximum_residual,primary_replay_voltage_difference_pu,primary_iterations,replay_iterations,runtime_ms
ATT_T009_000001_1,CALL_T009_000001,1,CONFIGURATION_CONTROL,2011-02-05 11:30:00,,,0,942.890625,1298.4375,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.985312707803485,25,1.00208070208512,13,1.54321000422897e-14,2.75779399316889e-13,21,23,0.1927
ATT_T009_000002_1,CALL_T009_000002,1,CONFIGURATION_CONTROL,2011-02-05 11:30:00,,,0,2547.8125,0,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.971170915135795,33,1.04999024614673,13,2.18434969387745e-14,2.55351295663786e-13,24,26,0.1812
ATT_T009_000003_1,CALL_T009_000003,1,CONFIGURATION_CONTROL,2011-02-05 11:30:00,,,0,-662.03125,0,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.900002599373861,18,1,1,9.76996261670138e-15,7.10320691155175e-13,24,27,0.1395
ATT_T009_000004_1,CALL_T009_000004,1,CONFIGURATION_CONTROL,2011-02-05 11:30:00,,,0,2548.125,0,FLAT_START,CONVERGED_INFEASIBLE,CONVERGED,PASSED,0.971174491737456,33,1.05000206126947,13,2.18688573956263e-14,2.56017429478561e-13,24,26,0.1363
ATT_T009_000005_1,CALL_T009_000005,1,ANCHOR_SEARCH,2011-02-05 11:30:00,E0000,CAL_006009,0,2075.43397073198,1441.47678214108,FLAT_START,CONVERGED_INFEASIBLE,CONVERGED,PASSED,0.989535225002242,25,1.05000406657657,13,7.57808544961975e-15,3.12860848339369e-13,23,26,0.1759
ATT_T009_000006_1,CALL_T009_000006,1,ANCHOR_SEARCH,2011-02-05 11:30:00,E0000,CAL_006009,0.5,2074.95624891839,1441.32919532316,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.989533251342274,25,1.04998387947364,13,7.57808544961975e-15,3.12638803734444e-13,23,26,0.1377
ATT_T009_000007_1,CALL_T009_000007,1,ANCHOR_SEARCH,2011-02-05 11:30:00,E0000,CAL_006009,1,2074.47852710481,1441.18160850524,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.989531277590775,25,1.04996369148806,13,7.65934458312101e-15,3.13082892944294e-13,23,26,0.1336
ATT_T009_000008_1,CALL_T009_000008,1,ANCHOR_SEARCH,2011-02-05 11:30:00,E0000,CAL_006009,2,2073.52308347763,1440.8864348694,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.989527329813146,25,1.04992331286849,13,7.54013557910636e-15,3.12194714524594e-13,23,26,0.1319
ATT_T009_000009_1,CALL_T009_000009,1,ANCHOR_SEARCH,2011-02-05 11:30:00,E0000,CAL_006009,4,2071.61219622329,1440.29608759773,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.989519433159107,25,1.04984254503297,13,7.51485733692229e-15,3.10862446895044e-13,23,26,0.1326
ATT_T009_000010_1,CALL_T009_000010,1,ANCHOR_SEARCH,2011-02-05 11:30:00,E0000,CAL_006009,3,2072.56763985046,1440.59126123357,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.989523381669281,25,1.04988293071706,13,7.54013557910636e-15,3.10862446895044e-13,23,26,0.1342
ATT_T009_000011_1,CALL_T009_000011,1,ANCHOR_SEARCH,2011-02-05 11:30:00,E0000,CAL_006009,3.5,2072.08991803687,1440.44367441565,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.989521407459987,25,1.04986273831665,13,7.52749427630508e-15,3.10418357685194e-13,23,26,0.1362
