artifact,role,sha256
data_processed/ausgrid/ausgrid_halfhour_normalized.csv,LOCKED_INPUT_NORMALIZED_TEXT,05fde68dce3c4476ea7c6023023eaa15e1796d87c4b49342577ecabea29172f1
results/s0_full_period_baseline/s0_interval_metrics.csv,LOCKED_INPUT_NORMALIZED_TEXT,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c
scripts/prepare_dso_vpp_production_probe_preregistration.py,DETERMINISTIC_GENERATOR_NORMALIZED_TEXT,8c5a52851f5cbbe0ea9fd44ad1d640b4767dd04ed2196431f783970ed0c84636
test_python/test_prepare_dso_vpp_production_probe_preregistration.py,FOCUSED_TEST_NORMALIZED_TEXT,0aa4476ad3dc7dc46e20f48a923b2e4e7d0c49188b6685f48c01e508b50828af
src/benchmark/dso_vpp_production_probe_contract.jl,PRODUCTION_BOUNDARY_CONTRACT_NORMALIZED_TEXT,7717759db69a0edc6121be914285e21b6284281cc55be3668a1354b2386fd2a7
test/test_dso_vpp_production_probe_contract.jl,PRODUCTION_BOUNDARY_CONTRACT_TEST_NORMALIZED_TEXT,90657cce5e02331f9fb74e8958c1bbdfa9181a1d0474c7d350f933c255eb4866
config/dso_vpp_production_probe_preregistration.toml,GENERATED_PREREGISTRATION_ARTIFACT,18530df3a6aad54c619e061b9c9f40136509cebe135fd42ee2e3c032383cb06d
results/dso_vpp_ac_map_pilot/production_probe_preregistration/selected_32_timestamps.csv,GENERATED_PREREGISTRATION_ARTIFACT,97756f87f12f0b1b26277d3abd9bcee1f31c80cf0ae89f47592d849bba83e94f
results/dso_vpp_ac_map_pilot/production_probe_preregistration/s0_origin_evidence_32_timestamps.csv,GENERATED_PREREGISTRATION_ARTIFACT,7ab11382e099670719789d2c6e21a332e674a1f650934c86219868bfc4cdb71d
results/dso_vpp_ac_map_pilot/production_probe_preregistration/production_probe_cost_estimate.csv,GENERATED_PREREGISTRATION_ARTIFACT,f305df82e97d7b3ff62643480e30a818d7835319d717d497196eb02171638938
results/dso_vpp_ac_map_pilot/production_probe_preregistration/production_probe_preregistration_report.md,GENERATED_PREREGISTRATION_ARTIFACT,0a7877b1acf18322b2c8df599433d21985f118a32741052f733a4621e987a559
