timestamp,constraint_id,constraint_type,level,normalized_angle_deg,production_guard_radius,a13_unit,a30_unit,b_kw,center_slack_kw,guard_endpoint_p13_abs_kw,guard_endpoint_p30_abs_kw,guard_endpoint_halfspace_residual_kw,source_semantic_class,policy_semantic_class
2010-07-01 07:30:00,GUARD_CAP_ADAPTIVE_135DEG,ARTIFICIAL_GUARD_TRUNCATION_CAP,ADAPTIVE,135,2,-0.821123946279928,0.570749914450872,3683.90119526723,3704.37034168667,-1803.48313199,3859.86568391,5.16911313752644e-09,CERTIFIED_FEASIBLE_GUARD_TRUNCATION,GUARD_CAP_NOT_PHYSICAL_BOUNDARY
2010-07-01 07:30:00,GUARD_CAP_BASE_140DEG,ARTIFICIAL_GUARD_TRUNCATION_CAP,BASE,140,2,-0.863812288873679,0.503813784637555,3516.21259501783,3597.1296786485,-1991.49427355,3564.68088621,2.83580448012799e-09,CERTIFIED_FEASIBLE_GUARD_TRUNCATION,GUARD_CAP_NOT_PHYSICAL_BOUNDARY
2010-07-01 07:30:00,GUARD_CAP_ADAPTIVE_315DEG,ARTIFICIAL_GUARD_TRUNCATION_CAP,ADAPTIVE,315,2,0.821123946279928,-0.570749914450872,3724.8394881061,3704.37034168667,2707.85813199,-2630.49068391,5.16956788487732e-09,CERTIFIED_FEASIBLE_GUARD_TRUNCATION,GUARD_CAP_NOT_PHYSICAL_BOUNDARY
2010-07-01 07:30:00,GUARD_CAP_BASE_320DEG,ARTIFICIAL_GUARD_TRUNCATION_CAP,BASE,320,2,0.863812288873679,-0.503813784637555,3678.04676227917,3597.1296786485,2895.86927355,-2335.30588621,2.83489498542622e-09,CERTIFIED_FEASIBLE_GUARD_TRUNCATION,GUARD_CAP_NOT_PHYSICAL_BOUNDARY
2010-07-02 17:30:00,GUARD_CAP_BASE_140DEG,ARTIFICIAL_GUARD_TRUNCATION_CAP,BASE,140,2,-0.864478063492087,0.502670545925432,3466.24483492557,3620.00346449222,-1567.79569019,4199.41026946,-4.5556589611806e-09,CERTIFIED_FEASIBLE_GUARD_TRUNCATION,GUARD_CAP_NOT_PHYSICAL_BOUNDARY
2010-07-02 17:30:00,GUARD_CAP_ADAPTIVE_315DEG,ARTIFICIAL_GUARD_TRUNCATION_CAP,ADAPTIVE,315,2,0.821936422267921,-0.569579246241829,3762.76736854946,3728.74083477461,3157.79722152,-2049.33523429,-2.00861904886551e-09,CERTIFIED_FEASIBLE_GUARD_TRUNCATION,GUARD_CAP_NOT_PHYSICAL_BOUNDARY
2010-07-02 18:00:00,GUARD_CAP_BASE_140DEG,ARTIFICIAL_GUARD_TRUNCATION_CAP,BASE,140,2,-0.864393402403536,0.502816115375431,3473.78511889305,3616.65167218262,-1630.05775964,4106.41958916,-5.40694600204006e-10,CERTIFIED_FEASIBLE_GUARD_TRUNCATION,GUARD_CAP_NOT_PHYSICAL_BOUNDARY
2010-07-02 18:00:00,GUARD_CAP_ADAPTIVE_315DEG,ARTIFICIAL_GUARD_TRUNCATION_CAP,ADAPTIVE,315,2,0.821833076803865,-0.569728350945512,3757.01507223036,3725.18478489844,3091.62209414,-2134.73275864,8.59017745824531e-10,CERTIFIED_FEASIBLE_GUARD_TRUNCATION,GUARD_CAP_NOT_PHYSICAL_BOUNDARY
2010-07-03 00:00:00,GUARD_CAP_ADAPTIVE_135DEG,ARTIFICIAL_GUARD_TRUNCATION_CAP,ADAPTIVE,135,2,-0.820386161385128,0.571809886420106,3672.26576696429,3682.18867216485,-2184.49264679,3288.04778396,-1.57342583406717e-10,CERTIFIED_FEASIBLE_GUARD_TRUNCATION,GUARD_CAP_NOT_PHYSICAL_BOUNDARY
2010-07-03 00:00:00,GUARD_CAP_BASE_320DEG,ARTIFICIAL_GUARD_TRUNCATION_CAP,BASE,320,2,0.863207340899696,-0.504849568304139,3593.35034930494,3576.29942073075,2490.92105135,-2858.61195648,-4.86579665448517e-11,CERTIFIED_FEASIBLE_GUARD_TRUNCATION,GUARD_CAP_NOT_PHYSICAL_BOUNDARY
2010-11-26 18:00:00,GUARD_CAP_ADAPTIVE_135DEG,ARTIFICIAL_GUARD_TRUNCATION_CAP,ADAPTIVE,135,2,-0.82055556646867,0.57156676105008,3675.01567560081,3686.93803850241,-2105.82957635,3406.54080569,7.03948899172246e-10,CERTIFIED_FEASIBLE_GUARD_TRUNCATION,GUARD_CAP_NOT_PHYSICAL_BOUNDARY
2010-11-26 18:00:00,GUARD_CAP_BASE_320DEG,ARTIFICIAL_GUARD_TRUNCATION_CAP,BASE,320,2,0.863346276721804,-0.504611936512206,3610.83121759606,3580.74916306915,2574.64807912,-2750.66498468,-3.17004378302954e-09,CERTIFIED_FEASIBLE_GUARD_TRUNCATION,GUARD_CAP_NOT_PHYSICAL_BOUNDARY
2010-12-21 11:30:00,GUARD_CAP_ADAPTIVE_135DEG,ARTIFICIAL_GUARD_TRUNCATION_CAP,ADAPTIVE,135,2,-0.820130957163797,0.572175858544901,3668.26460684226,3675.06279700795,-2311.54975245,3097.80825137,1.40926204039715e-09,CERTIFIED_FEASIBLE_GUARD_TRUNCATION,GUARD_CAP_NOT_PHYSICAL_BOUNDARY
2010-12-21 11:30:00,GUARD_CAP_BASE_320DEG,ARTIFICIAL_GUARD_TRUNCATION_CAP,BASE,320,2,0.862998001973445,-0.505207332280364,3565.76479916385,3569.62327692369,2356.26800969,-3033.03241418,3.17868398269638e-10,CERTIFIED_FEASIBLE_GUARD_TRUNCATION,GUARD_CAP_NOT_PHYSICAL_BOUNDARY
2010-12-21 12:00:00,GUARD_CAP_ADAPTIVE_135DEG,ARTIFICIAL_GUARD_TRUNCATION_CAP,ADAPTIVE,135,2,-0.820150659471133,0.572147617113857,3668.52264183279,3675.51354319997,-2302.86447332,3110.78255354,5.27052179677412e-10,CERTIFIED_FEASIBLE_GUARD_TRUNCATION,GUARD_CAP_NOT_PHYSICAL_BOUNDARY
2010-12-21 12:00:00,GUARD_CAP_BASE_320DEG,ARTIFICIAL_GUARD_TRUNCATION_CAP,BASE,320,2,0.863014164916967,-0.505179721636438,3567.59036601723,3570.04218960068,2365.41364858,-3021.112717,1.59980118041858e-09,CERTIFIED_FEASIBLE_GUARD_TRUNCATION,GUARD_CAP_NOT_PHYSICAL_BOUNDARY
2011-01-21 18:00:00,GUARD_CAP_ADAPTIVE_135DEG,ARTIFICIAL_GUARD_TRUNCATION_CAP,ADAPTIVE,135,2,-0.820778288972808,0.571246882136672,3678.97143484248,3694.46803138786,-1976.369552,3600.56269871,1.71985448105261e-09,CERTIFIED_FEASIBLE_GUARD_TRUNCATION,GUARD_CAP_NOT_PHYSICAL_BOUNDARY
2011-01-21 18:00:00,GUARD_CAP_BASE_320DEG,ARTIFICIAL_GUARD_TRUNCATION_CAP,BASE,320,2,0.863528911395566,-0.504299334903377,3639.62846515224,3587.84746497316,2712.39457911,-2572.67308755,-2.8589965950232e-09,CERTIFIED_FEASIBLE_GUARD_TRUNCATION,GUARD_CAP_NOT_PHYSICAL_BOUNDARY
2011-02-05 11:30:00,GUARD_CAP_BASE_140DEG,ARTIFICIAL_GUARD_TRUNCATION_CAP,BASE,140,2,-0.864560850787964,0.50252814377385,3459.95767912529,3622.64261339393,-1515.99234297,4276.95458639,4.5151864469517e-09,CERTIFIED_FEASIBLE_GUARD_TRUNCATION,GUARD_CAP_NOT_PHYSICAL_BOUNDARY
2011-02-05 11:30:00,GUARD_CAP_ADAPTIVE_315DEG,ARTIFICIAL_GUARD_TRUNCATION_CAP,ADAPTIVE,315,2,0.822037488737659,-0.569433373723285,3767.27852377678,3731.56072844132,3212.59290717,-1978.11854732,-5.3014446166344e-09,CERTIFIED_FEASIBLE_GUARD_TRUNCATION,GUARD_CAP_NOT_PHYSICAL_BOUNDARY
2011-02-05 17:30:00,GUARD_CAP_ADAPTIVE_145DEG,ARTIFICIAL_GUARD_TRUNCATION_CAP,ADAPTIVE,145,2,-0.900181816406302,0.435514290708641,3150.96915866682,3544.01405471697,-1325.51534283,4495.29301667,-1.14914655569009e-09,CERTIFIED_FEASIBLE_GUARD_TRUNCATION,GUARD_CAP_NOT_PHYSICAL_BOUNDARY
2011-02-05 17:30:00,GUARD_CAP_BASE_310DEG,ARTIFICIAL_GUARD_TRUNCATION_CAP,BASE,310,2,0.771964175553588,-0.63566603783895,3733.48340401364,3873.10587298717,3389.24004124,-1757.38743826,2.08228811970912e-09,CERTIFIED_FEASIBLE_GUARD_TRUNCATION,GUARD_CAP_NOT_PHYSICAL_BOUNDARY
