root_voltage_pu,branch_id,from_bus,to_bus,peak_ell_pu2,peak_current_pu,peak_current_a,base_current_a,current_conversion_verified,peak_timestamp,sending_active_power_kw,sending_reactive_power_kvar,sending_apparent_power_kva,receiving_active_power_kw,receiving_reactive_power_kvar,receiving_apparent_power_kva,maximum_soc_gap_pu2,minimum_soc_gap_pu2
1,1,1,2,0.212781056223468,0.461281970407979,210.364352122723,456.042866658472,true,2011-02-05 18:00:00,3917.67712655331,2435.14097105919,4612.81970348399,3905.43670231918,2428.90127540838,4599.13005268411,2.27837835568498e-08,-1.83634537697513e-11
1,2,2,3,0.168374668450607,0.410334824808482,187.130269795462,456.042866658472,true,2011-02-05 18:00:00,3444.2991788593,2207.82242257295,4091.17057614404,3392.50794454406,2181.44356063268,4033.33685203956,3.45718776523229e-09,-3.71323638503895e-10
1,3,3,4,0.0871464700691735,0.295205809680591,134.626503700972,456.042866658472,true,2011-02-05 18:00:00,2362.89518778456,1684.20051515576,2901.69003232709,2342.99471132693,1674.06540911286,2879.60400251392,5.18701150651127e-09,-1.68793866904549e-10
1,4,4,5,0.0786403612409846,0.280428888028649,127.887593990433,456.042866658472,true,2011-02-05 18:00:00,2222.99471132693,1594.06540911286,2735.46157259021,2204.29576921164,1584.5417547844,2714.71774054312,5.01019249742399e-09,-3.17320761680784e-10
1,5,5,6,0.0748512955733506,0.273589648147277,124.768607429167,456.042866658472,true,2011-02-05 18:00:00,2144.29576921164,1554.5417547844,2648.50984767418,2106.0471455443,1521.52371213139,2598.16646615135,1.59078374951938e-09,-9.61423715813148e-10
1,6,6,7,0.0163915842449013,0.128029622528934,58.3869960752971,456.042866658472,true,2011-02-05 18:00:00,1095.26737834207,527.887738851919,1215.84377898252,1093.35286074198,521.559194562742,1211.38122468759,1.01636416594626e-08,-1.17417524596493e-10
1,7,7,8,0.0108997435215664,0.104401836772953,47.6117129263475,456.042866658472,true,2011-02-05 18:00:00,893.352860741982,421.559194562742,987.821587290069,888.514895673536,419.960367478694,982.764178267907,2.27930072003459e-09,-5.33020320508124e-10
1,8,8,9,0.00650522403382687,0.0806549690584955,36.7821232996867,456.042866658472,true,2011-02-05 18:00:00,688.514895673536,319.960367478694,759.228159594625,684.334358676737,316.956874879052,754.171847126765,1.3866499891141e-09,-9.58200891611086e-10
1,9,9,10,0.0054667400301185,0.0739374061630411,33.718626659885,456.042866658472,true,2011-02-05 18:00:00,624.334358676737,296.956874879052,691.358645684153,620.773444481786,294.432855238952,687.059222787921,5.13616978678135e-09,-4.04759630267087e-10
1,10,10,11,0.00451398284352786,0.0671861804505053,30.6397783324818,456.042866658472,true,2011-02-05 18:00:00,560.773444481786,274.432855238952,624.323832694676,560.219742591393,274.249790015781,623.746027893458,1.38537773359268e-08,-1.35015350516497e-10
1,11,11,12,0.00377201809470487,0.0614167574421255,28.008674124775,456.042866658472,true,2011-02-05 18:00:00,515.219742591393,244.249790015781,570.183604708777,514.338608111374,243.95843197992,569.262611039972,4.96573946300375e-09,-1.8766283904452e-10
1,12,12,13,0.00291098457746245,0.0539535409168152,24.6051274660796,456.042866658472,true,2011-02-05 18:00:00,454.338608111374,208.95843197992,500.087189514076,451.672372352647,206.860678368659,496.788961433132,6.68212484314108e-10,-6.25000544481942e-09
1,13,13,14,0.00215780718521192,0.0464522032331289,21.1841959250381,456.042866658472,true,2011-02-05 18:00:00,391.672372352647,171.860678368659,427.71876277957,390.943210601569,170.900893633904,426.6658052391,3.69214363663467e-09,-3.91177289816241e-10
1,14,14,15,0.000968091729879215,0.0311141724922778,14.1893964170845,456.042866658472,true,2011-02-05 18:00:00,270.943210601569,90.900893633904,285.785226760461,270.586236606551,90.5831807381691,285.345797364426,2.61516991299315e-09,-1.35921185429462e-10
1,15,15,16,0.000604478561584413,0.0245861457244606,11.212336376266,456.042866658472,true,2011-02-05 18:00:00,210.586236606551,80.5831807381691,225.477741841608,210.304769963774,80.3776342819004,225.141423026219,1.67377221659698e-09,-9.68979756230053e-10
