timestamp,number_of_positive_area_components,component_id,component_area_kw2,component_area_over_polygon_area,component_area_over_hull_area,left_hull_vertex_index,right_hull_vertex_index,boundary_run_vertex_indices,boundary_run_interior_vertex_count,boundary_run_primary_classes,boundary_run_classification,binding_family_attribution,zero_area_contact_note,candidate_boundary_runs,zero_area_boundary_runs,positive_area_component_vertex_touch_pairs
2010-07-01 07:30:00,2,20100701T073000_C01,79921.5197198503,0.00505815393451123,0.00499479514045015,6,18,6;7;8;9;10;11;12;13;14;15;16;17;18,11,VMAX_BUS_30,VMAX / bus 30,VMAX,POSITIVE_AREA_COMPONENT;VERTEX_ONLY_CONTACTS_WITH_OTHER_COMPONENTS_REMAIN_DISTINCT,2,0,0
2010-07-01 07:30:00,2,20100701T073000_C02,120507.643541784,0.00762680956838911,0.00753127561211909,44,5,44;45;46;47;48;49;50;0;1;2;3;4;5,11,VMAX_BUS_13,VMAX / bus 13,VMAX,POSITIVE_AREA_COMPONENT;VERTEX_ONLY_CONTACTS_WITH_OTHER_COMPONENTS_REMAIN_DISTINCT,2,0,0
2010-07-02 17:30:00,2,20100702T173000_C01,92414.4623189711,0.0057013199397423,0.00561624093875714,7,19,7;8;9;10;11;12;13;14;15;16;17;18;19,11,VMAX_BUS_30,VMAX / bus 30,VMAX,POSITIVE_AREA_COMPONENT;VERTEX_ONLY_CONTACTS_WITH_OTHER_COMPONENTS_REMAIN_DISTINCT,2,0,0
2010-07-02 17:30:00,2,20100702T173000_C02,153136.239047652,0.00944742490808491,0.0093064439630481,45,6,45;46;47;48;49;50;51;52;0;1;2;3;4;5;6,13,VMAX_BUS_13,VMAX / bus 13,VMAX,POSITIVE_AREA_COMPONENT;VERTEX_ONLY_CONTACTS_WITH_OTHER_COMPONENTS_REMAIN_DISTINCT,2,0,0
2010-07-02 18:00:00,2,20100702T180000_C01,98675.1314428148,0.00608537762001045,0.00598720626808133,7,19,7;8;9;10;11;12;13;14;15;16;17;18;19,11,VMAX_BUS_30,VMAX / bus 30,VMAX,POSITIVE_AREA_COMPONENT;VERTEX_ONLY_CONTACTS_WITH_OTHER_COMPONENTS_REMAIN_DISTINCT,2,0,0
2010-07-02 18:00:00,2,20100702T180000_C02,167201.845338939,0.0103114771956467,0.0101451289885356,45,6,45;46;47;48;49;50;51;52;0;1;2;3;4;5;6,13,VMAX_BUS_13,VMAX / bus 13,VMAX,POSITIVE_AREA_COMPONENT;VERTEX_ONLY_CONTACTS_WITH_OTHER_COMPONENTS_REMAIN_DISTINCT,2,0,0
2010-07-03 00:00:00,2,20100703T000000_C01,110964.424324403,0.00685127517191036,0.00672848968720682,6,18,6;7;8;9;10;11;12;13;14;15;16;17;18,11,VMAX_BUS_30,VMAX / bus 30,VMAX,POSITIVE_AREA_COMPONENT;VERTEX_ONLY_CONTACTS_WITH_OTHER_COMPONENTS_REMAIN_DISTINCT,2,0,0
2010-07-03 00:00:00,2,20100703T000000_C02,184592.944463654,0.0113973200421095,0.0111930623775759,46,5,46;47;48;49;50;51;52;0;1;2;3;4;5,11,VMAX_BUS_13,VMAX / bus 13,VMAX,POSITIVE_AREA_COMPONENT;VERTEX_ONLY_CONTACTS_WITH_OTHER_COMPONENTS_REMAIN_DISTINCT,2,0,0
2010-11-26 18:00:00,2,20101126T180000_C01,103511.738651925,0.00639054656253454,0.00628454421895334,6,18,6;7;8;9;10;11;12;13;14;15;16;17;18,11,VMAX_BUS_30,VMAX / bus 30,VMAX,POSITIVE_AREA_COMPONENT;VERTEX_ONLY_CONTACTS_WITH_OTHER_COMPONENTS_REMAIN_DISTINCT,2,0,0
2010-11-26 18:00:00,2,20101126T180000_C02,169696.178608462,0.0104766024124877,0.0103028231593948,46,5,46;47;48;49;50;51;52;0;1;2;3;4;5,11,VMAX_BUS_13,VMAX / bus 13,VMAX,POSITIVE_AREA_COMPONENT;VERTEX_ONLY_CONTACTS_WITH_OTHER_COMPONENTS_REMAIN_DISTINCT,2,0,0
