bus,delta_v2,coefficient_13_pu_per_pu,coefficient_30_pu_per_pu,contribution_13_v2,contribution_30_v2,margin_v2,near_binding,violated
30,0.104865874071451,0.268450094711859,0.625073311221421,0.00421183972187369,0.100654034349577,0,true,false
13,0.0572514730136673,0.893822890071851,0.268450094711859,0.0140236074670242,0.0432278655466431,6.93889390390723e-18,true,false
14,0.0578987359436482,0.893822890071851,0.268450094711859,0.0140236074670242,0.0432278655466431,0.00064726292998097,false,false
15,0.0583015672922023,0.893822890071851,0.268450094711859,0.0140236074670242,0.0432278655466431,0.00105009427853498,false,false
31,0.106056266874198,0.268450094711859,0.625073311221421,0.00421183972187369,0.100654034349577,0.00119039280274713,false,false
16,0.0586915206492786,0.893822890071851,0.268450094711859,0.0140236074670242,0.0432278655466431,0.00144004763561135,false,false
32,0.10631801568507,0.268450094711859,0.625073311221421,0.00421183972187369,0.100654034349577,0.00145214161361951,false,false
33,0.106399099529361,0.268450094711859,0.625073311221421,0.00421183972187369,0.100654034349577,0.00153322545791024,false,false
17,0.0592688384101248,0.893822890071851,0.268450094711859,0.0140236074670242,0.0432278655466431,0.00201736539645748,false,false
18,0.0594417200379072,0.893822890071851,0.268450094711859,0.0140236074670242,0.0432278655466431,0.00219024702423987,false,false
29,0.103845473650284,0.268450094711859,0.561744894419363,0.00421183972187369,0.0904564134854847,0.00917722044292542,false,false
12,0.0696854698627665,0.710638425312399,0.268450094711859,0.011149540292892,0.0432278655466431,0.0153080640232314,false,false
11,0.0728606184232312,0.663918899695275,0.268450094711859,0.0104165356948027,0.0432278655466431,0.0192162171817854,false,false
10,0.0745046530234925,0.639386157343975,0.268450094711859,0.0100316299683487,0.0432278655466431,0.0212451575085007,false,false
28,0.101484449771167,0.268450094711859,0.461392750986426,0.00421183972187369,0.074296952009814,0.0229756580394796,false,false
9,0.0828243524046151,0.509110557065455,0.268450094711859,0.00798767483906126,0.0432278655466431,0.0316088120189107,false,false
27,0.0981916835075907,0.268450094711859,0.329245374841835,0.00421183972187369,0.0530175815761715,0.0409622622095454,false,false
8,0.0908217772560169,0.380581947595267,0.268450094711859,0.00597112906974508,0.0432278655466431,0.0416227826396287,false,false
26,0.0974528850124012,0.268450094711859,0.293781461432682,0.00421183972187369,0.04730691389228,0.0459341313982476,false,false
7,0.0961897822252373,0.291809857520421,0.268450094711859,0.00457834202091834,0.0432278655466431,0.0483835746576759,false,false
6,0.09689616708352,0.268450094711859,0.268450094711859,0.00421183972187369,0.0432278655466431,0.0494564618150032,false,false
5,0.0992790932664727,0.166251132424399,0.166251132424399,0.00260839216355335,0.026771015324591,0.0698996857783283,false,false
4,0.100733113894531,0.11869554692043,0.11869554692043,0.00186227022890636,0.0191132551052698,0.0797575885603547,false,false
3,0.1020118225423,0.0730242157883046,0.0730242157883046,0.00114571124679984,0.0117589117825945,0.0891071995129056,false,false
23,0.103099902568881,0.0730242157883046,0.0730242157883046,0.00114571124679984,0.0117589117825945,0.0901952795394863,false,false
24,0.105121283331256,0.0730242157883046,0.0730242157883046,0.00114571124679984,0.0117589117825945,0.0922166603018619,false,false
25,0.106126686112151,0.0730242157883046,0.0730242157883046,0.00114571124679984,0.0117589117825945,0.0932220630827563,false,false
2,0.102510136297703,0.0115051823234479,0.0115051823234479,0.000180510213525196,0.0018526515146193,0.100476974569559,false,false
19,0.102673846602374,0.0115051823234479,0.0115051823234479,0.000180510213525196,0.0018526515146193,0.10064068487423,false,false
20,0.103781116452821,0.0115051823234479,0.0115051823234479,0.000180510213525196,0.0018526515146193,0.101747954724677,false,false
21,0.103999050724795,0.0115051823234479,0.0115051823234479,0.000180510213525196,0.0018526515146193,0.10196588899665,false,false
22,0.104196169766452,0.0115051823234479,0.0115051823234479,0.000180510213525196,0.0018526515146193,0.102163008038308,false,false
1,0.1025,0,0,0,0,0.1025,false,false
