rank,bus,delta_v2,coefficient_pu_per_pu,coefficient_v2_per_kw,controlling,linear_axis_limit_kw
1,30,0.104865874071451,0.625073311221421,6.25073311221421e-05,true,1677.65719938575
2,31,0.106056266874198,0.625073311221421,6.25073311221421e-05,true,1696.70125040148
3,32,0.10631801568507,0.625073311221421,6.25073311221421e-05,true,1700.88874019145
4,33,0.106399099529361,0.625073311221421,6.25073311221421e-05,true,1702.18592954244
5,29,0.103845473650284,0.561744894419363,5.61744894419363e-05,true,1848.62336412727
6,13,0.0572514730136673,0.268450094711859,2.68450094711859e-05,true,2132.66726819814
7,14,0.0578987359436482,0.268450094711859,2.68450094711859e-05,true,2156.77837647232
8,15,0.0583015672922023,0.268450094711859,2.68450094711859e-05,true,2171.78419530007
9,16,0.0586915206492786,0.268450094711859,2.68450094711859e-05,true,2186.31029772127
10,28,0.101484449771167,0.461392750986426,4.61392750986426e-05,true,2199.52414844404
11,17,0.0592688384101248,0.268450094711859,2.68450094711859e-05,true,2207.81588748333
12,18,0.0594417200379072,0.268450094711859,2.68450094711859e-05,true,2214.25587879598
13,12,0.0696854698627665,0.268450094711859,2.68450094711859e-05,true,2595.84448787636
14,11,0.0728606184232312,0.268450094711859,2.68450094711859e-05,true,2714.12153910529
15,10,0.0745046530234925,0.268450094711859,2.68450094711859e-05,true,2775.36326084974
16,27,0.0981916835075907,0.329245374841835,3.29245374841835e-05,true,2982.32537221702
17,9,0.0828243524046151,0.268450094711859,2.68450094711859e-05,true,3085.27931396391
18,26,0.0974528850124012,0.293781461432682,2.93781461432682e-05,true,3317.18974155664
19,8,0.0908217772560169,0.268450094711859,2.68450094711859e-05,true,3383.19035996246
20,7,0.0961897822252373,0.268450094711859,2.68450094711859e-05,true,3583.1532236367
21,6,0.09689616708352,0.268450094711859,2.68450094711859e-05,true,3609.46667526877
22,5,0.0992790932664727,0.166251132424399,1.66251132424399e-05,true,5971.63410671015
23,4,0.100733113894531,0.11869554692043,1.1869554692043e-05,true,8486.68012474468
24,3,0.1020118225423,0.0730242157883046,7.30242157883046e-06,true,13969.5882305713
25,23,0.103099902568881,0.0730242157883046,7.30242157883046e-06,true,14118.5908613883
26,24,0.105121283331256,0.0730242157883046,7.30242157883046e-06,true,14395.4005115235
27,25,0.106126686112151,0.0730242157883046,7.30242157883046e-06,true,14533.0812479807
28,2,0.102510136297703,0.0115051823234479,1.15051823234479e-06,true,89099.0976203695
29,19,0.102673846602374,0.0115051823234479,1.15051823234479e-06,true,89241.3902847262
30,20,0.103781116452821,0.0115051823234479,1.15051823234479e-06,true,90203.7999357147
31,21,0.103999050724795,0.0115051823234479,1.15051823234479e-06,true,90393.2226374563
32,22,0.104196169766452,0.0115051823234479,1.15051823234479e-06,true,90564.5532918653
33,1,0.1025,0,0,false,Inf
