edge_id,timestamp,d_sequence_available,num_attempts,best_retreat_kw,best_margin_observed,vmax_margin_at_best,vmin_margin_at_best,failure_pattern
E0044,2010-07-02 17:30:00,true,15,0,-0.000142784005574992,0.0176539120750701,-0.000142784005574992,VMIN_FAILURE_MONOTONICALLY_WORSENS_VMAX_IMPROVES
E0044,2010-07-02 18:00:00,true,9,4.75,-0.000153791768141009,0.01924681233637,-0.000153791768141009,VMIN_FAILURE_MONOTONICALLY_WORSENS_VMAX_IMPROVES
E0019,2010-12-21 11:30:00,true,14,0,-0.000148978634390007,-0.000148978634390007,0.024493531919735,VMAX_FAILURE_MONOTONICALLY_WORSENS_VMIN_IMPROVES
E0021,2011-02-05 18:00:00,true,15,0,-0.000148909900730132,-0.000148909900730132,0.024771245926324,VMAX_FAILURE_MONOTONICALLY_WORSENS_VMIN_IMPROVES
E0019,2011-03-08 11:30:00,true,14,0,-0.000145439115120105,-0.000145439115120105,0.024372495899039,VMAX_FAILURE_MONOTONICALLY_WORSENS_VMIN_IMPROVES
E0019,2011-03-08 12:30:00,true,14,0,-0.000145537676940144,-0.000145537676940144,0.025364574567327,VMAX_FAILURE_MONOTONICALLY_WORSENS_VMIN_IMPROVES
E0019,2011-05-11 17:30:00,true,14,0,-0.00014820006774996,-0.00014820006774996,0.0241924542302709,VMAX_FAILURE_MONOTONICALLY_WORSENS_VMIN_IMPROVES
E0045,2011-05-16 07:30:00,true,14,0,-0.000148313434049974,0.01614444759046,-0.000148313434049974,VMIN_FAILURE_MONOTONICALLY_WORSENS_VMAX_IMPROVES
E0019,2011-11-14 17:30:00,true,14,0,-0.000146997937600091,-0.000146997937600091,0.024311886038754,VMAX_FAILURE_MONOTONICALLY_WORSENS_VMIN_IMPROVES
E0019,2011-12-15 05:30:00,true,14,0,-0.000147483621010025,-0.000147483621010025,0.022556422740832,VMAX_FAILURE_MONOTONICALLY_WORSENS_VMIN_IMPROVES
E0019,2012-08-04 03:30:00,true,9,2.75,-0.000163568578740003,-0.000163568578740003,0.022376839071571,VMAX_FAILURE_MONOTONICALLY_WORSENS_VMIN_IMPROVES
E0019,2012-08-24 12:00:00,true,14,0,-0.000145300000200077,-0.000145300000200077,0.024341915599174,VMAX_FAILURE_MONOTONICALLY_WORSENS_VMIN_IMPROVES
E0019,2012-10-15 13:00:00,true,14,0,-0.000148536119010112,-0.000148536119010112,0.022555606985005,VMAX_FAILURE_MONOTONICALLY_WORSENS_VMIN_IMPROVES
E0046,2012-10-15 13:00:00,true,15,0,-0.000149915347890994,0.02666714659017,-0.000149915347890994,VMIN_FAILURE_MONOTONICALLY_WORSENS_VMAX_IMPROVES
E0019,2013-04-17 05:30:00,true,14,0,-0.000147091288100087,-0.000147091288100087,0.020795469412727,VMAX_FAILURE_MONOTONICALLY_WORSENS_VMIN_IMPROVES
