edge_id,guard_relation,margin_channel,timestamp,mixed_sign_flag,transition_flag,crossing_flag,cap_kw,maximum_tested_retreat_kw,last_pass_retreat_kw,first_fail_retreat_kw,vmax_failure_present,vmin_failure_present,binding_voltage_channel,binding_bus,classification_preliminary
E0044,CROSSES_GUARD_LIMITED_RAY,VMIN_HEADROOM_MARGIN,2010-07-02 17:30:00,true,true,true,5407.98128184483,4096,,0,false,true,VMIN,33,POSSIBLE_TRUE_OPERATOR_LIMITATION
E0044,CROSSES_GUARD_LIMITED_RAY,VMIN_HEADROOM_MARGIN,2010-07-02 18:00:00,true,true,true,5937.56012352822,68.75,,4.75,false,true,VMIN,33,POSSIBLE_TRUE_OPERATOR_LIMITATION
E0019,CROSSES_GUARD_LIMITED_RAY,VMAX_HEADROOM_MARGIN,2010-12-21 11:30:00,true,true,true,3083.20086830409,2048,,0,true,false,VMAX,30,POSSIBLE_TRUE_OPERATOR_LIMITATION
E0021,CROSSES_GUARD_LIMITED_RAY,VMAX_HEADROOM_MARGIN,2011-02-05 18:00:00,true,true,true,6406.53017921302,4096,,0,true,false,VMAX,30,POSSIBLE_TRUE_OPERATOR_LIMITATION
E0019,CROSSES_GUARD_LIMITED_RAY,VMAX_HEADROOM_MARGIN,2011-03-08 11:30:00,true,true,true,3069.80396954608,2048,,0,true,false,VMAX,30,POSSIBLE_TRUE_OPERATOR_LIMITATION
E0019,CROSSES_GUARD_LIMITED_RAY,VMAX_HEADROOM_MARGIN,2011-03-08 12:30:00,true,true,true,3177.56391704543,2048,,0,true,false,VMAX,30,POSSIBLE_TRUE_OPERATOR_LIMITATION
E0019,CROSSES_GUARD_LIMITED_RAY,VMAX_HEADROOM_MARGIN,2011-05-11 17:30:00,true,true,true,3225.4262693734,2048,,0,true,false,VMAX,30,POSSIBLE_TRUE_OPERATOR_LIMITATION
E0045,CROSSES_GUARD_LIMITED_RAY,VMIN_HEADROOM_MARGIN,2011-05-16 07:30:00,true,true,true,3973.9953609469,2048,,0,false,true,VMIN,33,POSSIBLE_TRUE_OPERATOR_LIMITATION
E0019,CROSSES_GUARD_LIMITED_RAY,VMAX_HEADROOM_MARGIN,2011-11-14 17:30:00,true,true,true,3235.01271956012,2048,,0,true,false,VMAX,30,POSSIBLE_TRUE_OPERATOR_LIMITATION
E0019,CROSSES_GUARD_LIMITED_RAY,VMAX_HEADROOM_MARGIN,2011-12-15 05:30:00,true,true,true,2870.73261259137,2048,,0,true,false,VMAX,30,POSSIBLE_TRUE_OPERATOR_LIMITATION
E0019,CROSSES_GUARD_LIMITED_RAY,VMAX_HEADROOM_MARGIN,2012-08-04 03:30:00,true,true,true,2835.91839481001,66.75,,2.75,true,false,VMAX,30,POSSIBLE_TRUE_OPERATOR_LIMITATION
E0019,CROSSES_GUARD_LIMITED_RAY,VMAX_HEADROOM_MARGIN,2012-08-24 12:00:00,true,true,true,3066.7633646731,2048,,0,true,false,VMAX,30,POSSIBLE_TRUE_OPERATOR_LIMITATION
E0019,CROSSES_GUARD_LIMITED_RAY,VMAX_HEADROOM_MARGIN,2012-10-15 13:00:00,true,true,true,2870.8621419212,2048,,0,true,false,VMAX,30,POSSIBLE_TRUE_OPERATOR_LIMITATION
E0046,CROSSES_GUARD_LIMITED_RAY,VMIN_HEADROOM_MARGIN,2012-10-15 13:00:00,true,true,true,4851.1188850161,4096,,0,false,true,VMIN,33,POSSIBLE_TRUE_OPERATOR_LIMITATION
E0019,CROSSES_GUARD_LIMITED_RAY,VMAX_HEADROOM_MARGIN,2013-04-17 05:30:00,true,true,true,2683.26806146154,2048,,0,true,false,VMAX,30,POSSIBLE_TRUE_OPERATOR_LIMITATION
